nbLignes	1468
939925	303250	8.13403
940200	303250	3.53273
940225	303250	4.44286
940400	303250	12.2511
940625	303250	18.6983
940850	303250	33.7896
941525	303250	39.4485
937825	303275	17.063
938450	303275	21.6312
938500	303275	21.1075
938875	303275	11.5918
939150	303275	5.40622
939175	303275	6.27843
939225	303275	7.65531
939375	303275	19.6272
939625	303275	19.0833
940000	303275	6.2662
940050	303275	5.07002
941625	303275	36.8214
938200	303300	11.1663
938250	303300	14.3379
938450	303300	22.7872
938600	303300	18.816
938700	303300	14.8538
938775	303300	12.4499
939300	303300	11.9468
939325	303300	13.9404
939425	303300	20.7947
939650	303300	17.1694
939975	303300	7.11361
940000	303300	6.46531
940200	303300	3.83028
940225	303300	4.66746
940475	303300	15.5077
940900	303300	28.6065
941250	303300	40.1295
938050	303325	7.07739
938275	303325	17.4256
938900	303325	9.37753
939175	303325	5.12411
939475	303325	19.8515
939775	303325	12.8904
939825	303325	11.3909
940000	303325	6.58453
940175	303325	3.24825
940275	303325	6.3258
940350	303325	8.72614
938425	303350	22.38
938700	303350	14.4064
939550	303350	17.6632
939775	303350	12.57
940075	303350	4.7864
940475	303350	13.879
937650	303375	18.3254
938500	303375	21.3619
938750	303375	11.2305
938875	303375	8.94555
940050	303375	5.17876
941000	303375	19.998
937975	303400	11.8403
938475	303400	22.9135
938750	303400	10.5543
939275	303400	7.72297
940050	303400	4.97631
940125	303400	3.71748
940200	303400	4.73454
940425	303400	10.8026
937900	303425	16.1857
938450	303425	24.731
938800	303425	10.7114
938975	303425	12.4182
939100	303425	9.49482
939500	303425	13.8527
939700	303425	12.586
940025	303425	5.41308
940225	303425	5.46039
940325	303425	7.72911
941425	303425	31.3202
937875	303450	13.1754
938025	303450	15.1207
938275	303450	23.488
938400	303450	27.4896
938850	303450	13.4903
938875	303450	14.0477
939175	303450	9.20694
939575	303450	12.8775
939625	303450	12.6782
939875	303450	8.60162
940250	303450	6.23319
940325	303450	7.72954
941725	303450	30.2388
937800	303475	18.4307
937825	303475	17.7368
938400	303475	28.6449
938425	303475	27.7363
938500	303475	23.0336
938875	303475	15.5634
939000	303475	15.9629
939025	303475	15.4353
939100	303475	13.2748
